standard_time_label,standard_time_ms,master_category,master_time_adjustment_ms,,,,,
10:00,600000,MasB,5000,,From,To,,
10:00,600000,MasC,17000,,10,18,,
10:00,600000,MasD,34000,,,,,
10:00,600000,MasE,48000,,,,,
10:00,600000,MasF,66000,,,,,
10:00,600000,MasG,86000,,,,,
10:00,600000,MasH,108000,,,,,
10:00,600000,MasI,131000,,,,,
10:00,600000,MasJ,154000,,,,,
10:01,601000,MasB,5000,,,,,
10:01,601000,MasC,17000,,,,,
10:01,601000,MasD,34000,,,,,
10:01,601000,MasE,48000,,,,,
10:01,601000,MasF,66000,,,,,
10:01,601000,MasG,86000,,,,,
10:01,601000,MasH,108000,,,,,
