CrewID,Event Identity
1169452,2x
1169453,Mx.2x
1169454,MasH.2x
1169455,-2
1169456,MasF.2x
1169457,-2
1169458,-2
1169459,-2
1169460,2x
1169461,J18.2x
1169462,Sch/Jun.2-
1169463,Mx.MasF.2x
1169464,W.MasB.2x
1169465,W.2x
1169466,W.2x
1169467,W.2x
1169468,W.MasF.2x
1169469,MasC.2x
1169470,MasF.2x
1169471,2x
1169472,Mx.MasE.2x
1169473,2x
1169474,2x
1169475,2x
1169476,MasG.2-
1169477,W.MasD.2x
1169478,W.2-
1169479,Sch/Jun.2-
1169480,MasB.2-
1169481,W.MasB.2x
1169482,W.MasC.2x
1169483,J18.2x
1169484,MasC.2-
1169485,W.Sch/Jun.2-
1169486,MasD.2x
1169487,MasG.2x
1169488,J18.2x
1169489,W.MasE.2x
1169490,MasF.2x
1169491,J18.2x
1169492,W.MasD.2x
1169493,J18.2x
1169494,W.MasD.2x
1169495,-2
1169496,J18.2x
1169497,W.Sch/Jun.2x
1169498,W.Sch/Jun.2x
1169499,W.MasC.2x
1169500,W.Sch/Jun.2x
1169501,MasC.2x
1169502,W.Sch/Jun.2x
1169503,MasC.2-
1169504,W.MasB.2x
1169505,MasE.2x
1169506,W.MasB.2x
1169507,W.MasB.2-
1169508,W.2-
1169509,W.2-
1169510,-2
1169511,W.MasE.2x
1169512,MasB.2-
1169513,J18.2x
1169514,W.2x
1169515,W.2x
1169516,W.Sch/Jun.2x
1169517,2x
1169518,W.MasF.2x
1169519,W.MasE.2x
1169520,W.MasD.2x
1169521,W.2x
1169522,MasE.2-
1169523,W.MasB.2-
1169524,W.MasC.2x
1169525,W.2-
1169526,W.2x
1169527,J18.2x
1169528,MasB.2-
1169529,W.MasF.2x
1169530,2x
1169531,W.2-
1169532,W.2x
1169533,MasC.2-
1169534,W.MasE.2x
1169535,MasB.2x
1169536,-2
1169537,-2
1169538,MasE.2x
1169539,MasD.2x
1169540,MasH.2x
1169541,MasE.2x
1169547,W.2-
1169548,-2
1169549,W.MasC.2-
1169550,W.MasE.2x
1169551,W.2-
1169552,MasB.2x
1169553,W.MasC.2x
1169554,W.2-
1169555,W.2x
1169687,2x
1169764,W.2-
1169830,W.MasH.2x
1169883,W.2x
1169931,W.2x
1169946,MasB.2x
1169971,W.MasE.2x
1169994,-2
1169996,W.2-
1169997,W.2-
1169998,2x
1170000,-2
1170001,2x
1170002,W.2x
1170003,W.2x
1170004,W.Sch/Jun.2x
1170005,W.Sch/Jun.2-
1170006,-2
1170007,W.2-
1170045,W.2x
1170051,MasB.2x
1170052,-2
1170053,W.2-
1170054,W.Sch/Jun.2x
1170055,W.Sch/Jun.2x
1170056,J18.2x
1170057,J18.2x
